,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,dzhebariki-khaya,62.2167,135.8,56.3,57,100,6.15,RU,1620800693
355,srednekolymsk,67.45,153.6833,28.72,78,100,0.49,RU,1620800693
356,kuantan,3.8077,103.326,89.6,74,40,3.44,MY,1620800693
357,port macquarie,-31.4333,152.9167,69.01,94,90,1.99,AU,1620800604
358,otane,-39.8833,176.6333,52.0,93,100,4.0,NZ,1620800694
359,sur,22.5667,59.5289,88.77,50,9,6.89,OM,1620800589
360,santa lucia,27.9117,-15.5407,66.2,59,75,21.85,ES,1620800695
361,qasigiannguit,68.8193,-51.1922,30.2,93,75,0.58,GL,1620800695
362,lompoc,34.6391,-120.4579,53.6,94,8,3.44,US,1620800601
363,manakara,-22.1333,48.0167,72.79,82,30,6.17,MG,1620800696
364,niquelandia,-14.4739,-48.4597,64.69,72,97,2.42,BR,1620800571
